Unit	N0	N1	N2	Pop	Pop_Cent_Lon	Pop_Cent_Lat	Area_Cent_Lon	Area_Cent_Lat
0	Spain	Andalucía	Almería	562728.0	-2.433823529411768	36.8502803918087	-2.3666666666666742	36.724999999999994
1	Spain	Andalucía	Cádiz	1072825.0	-6.2425486953326015	36.532737033286715	-5.849999999999994	36.474999999999994
2	Spain	Andalucía	Córdoba	781939.0	-4.7936045393344955	37.86166536734664	-4.89166666666668	37.783333333333324
3	Spain	Andalucía	Granada	859859.0	-3.6090011087591733	37.17757162519467	-3.458333333333343	36.80833333333333
4	Spain	Andalucía	Huelva	468741.0	-6.939238016831325	37.281616750987844	-6.949999999999989	36.61666666666666
5	Spain	Andalucía	Jaén	655355.0	-3.733902691511389	37.94693604449078	-3.441666666666663	36.87499999999999
6	Spain	Andalucía	Málaga	1242776.0	-4.465614118391898	36.71577261967785	-4.558333333333337	36.033333333333324
7	Spain	Andalucía	Sevilla	1826113.0	-5.972936240263408	37.37644082263558	-5.60833333333332	37.30833333333333
8	Spain	Aragón	Huesca	215481.0	-0.3944968553459205	42.114510346240515	-0.025000000000005684	42.02499999999999
9	Spain	Aragón	Teruel	139541.0	-0.8319444444444457	40.80402093742564	-0.875	39.49166666666666
10	Spain	Aragón	Zaragoza	917911.0	-0.8926288722909419	41.65226556564411	-1.0666666666666629	39.74999999999999
11	Spain	Cantabria	Cantabria	533141.0	-3.7987910189982586	43.3990280347631	-4.083333333333343	42.158333333333324
12	Spain	Castilla-La Mancha	Albacete	382343.0	-1.8596152815731557	38.99274009234767	-1.8499999999999943	37.08333333333333
13	Spain	Castilla-La Mancha	Ciudad Real	503619.0	-3.9234449585077584	38.983522898951094	-3.8499999999999943	37.99999999999999
14	Spain	Castilla-La Mancha	Cuenca	208065.0	-2.438392857142844	39.87316542288556	-2.1333333333333258	39.67499999999999
15	Spain	Castilla-La Mancha	Guadalajara	212348.0	-3.1720452155625765	40.63242905570699	-2.541666666666657	39.349999999999994
16	Spain	Castilla-La Mancha	Toledo	621054.0	-4.563562639821043	39.945993785310726	-4.166666666666657	37.68333333333333
17	Spain	Castilla y León	Ávila	166822.0	-4.692697836893728	40.64244785784202	-4.883333333333326	40.29166666666666
18	Spain	Castilla y León	Burgos	358464.0	-3.672132807503715	42.35192255189481	-3.691666666666663	41.79999999999999
19	Spain	Castilla y León	León	491611.0	-5.5861800754242665	42.58681810587285	-5.98333333333332	41.98333333333333
20	Spain	Castilla y León	Palencia	172214.0	-4.527229433036268	42.01650443045073	-4.60833333333332	42.02499999999999
21	Spain	Castilla y León	Salamanca	348252.0	-5.674579056365928	40.95733333333333	-5.98333333333332	39.87499999999999
22	Spain	Castilla y León	Segovia	155661.0	-4.113679846938766	40.956022988505744	-4.058333333333337	40.55833333333333
23	Spain	Castilla y León	Soria	94449.0	-2.475341130604278	41.767140932936336	-2.666666666666657	40.81666666666666
24	Spain	Castilla y León	Valladolid	515122.0	-4.732901691331904	41.628228258083894	-4.675000000000011	41.383333333333326
25	Spain	Castilla y León	Zamora	195103.0	-5.736128413991395	41.523744318471984	-5.974999999999994	40.699999999999996
26	Spain	Cataluña	Barcelona	4848784.0	2.1991090765898775	41.44258011243162	2.083333333333343	41.11666666666666
27	Spain	Cataluña	Girona	615353.0	2.810446765948001	41.980163490030144	2.5999999999999943	41.87499999999999
28	Spain	Cataluña	Lleida	398926.0	0.9884615384615358	41.64687053351004	1.1333333333333258	41.41666666666666
29	Spain	Cataluña	Tarragona	634946.0	1.2221331908831985	41.1354357615048	0.7416666666666742	40.974999999999994
30	Spain	Ceuta y Melilla	Ceuta	52073.0	-5.3286888443107046	35.893196730830645	-5.341666666666669	35.87499999999999
31	Spain	Ceuta y Melilla	Melilla	62739.0	-2.945407356741157	35.295320018251196	-2.9499999999999886	35.29166666666666
32	Spain	Comunidad de Madrid	Madrid	5899101.0	-3.6602873160476577	40.41886717910282	-3.76666666666668	39.86666666666666
33	Spain	Comunidad Foral de Navarra	Navarra	598282.0	-1.6649415264669756	42.80463906526641	-1.6166666666666742	42.633333333333326
34	Spain	Comunidad Valenciana	Alicante	1521449.0	-0.5107158988256515	38.375254372687515	-0.5999999999999943	38.34166666666666
35	Spain	Comunidad Valenciana	Castellón	488965.0	-0.04340564373896427	39.97734174953849	-0.15000000000000568	40.033333333333324
36	Spain	Comunidad Valenciana	Valencia	2291026.0	-0.38594358118982086	39.45898182516318	-0.875	39.24999999999999
37	Spain	Extremadura	Badajoz	672629.0	-6.9679663009404464	38.869044197586675	-6.166666666666657	37.99999999999999
38	Spain	Extremadura	Cáceres	408065.0	-6.0277777777777715	39.8055512918905	-6.083333333333343	39.23333333333333
39	Spain	Galicia	A Coruña	1040086.0	-8.357102851323816	43.28954837179102	-8.574999999999989	42.92499999999999
40	Spain	Galicia	Lugo	343668.0	-7.561130211744143	43.022498217256945	-7.425000000000011	42.758333333333326
41	Spain	Galicia	Ourense	333606.0	-7.862939984806275	42.330245008907745	-7.541666666666657	41.74166666666666
42	Spain	Galicia	Pontevedra	892022.0	-8.694612829561976	42.24692989694502	-8.625	42.383333333333326
43	Spain	Islas Baleares	Baleares	877117.0	2.6576439972241417	39.58280534432445	2.89166666666668	38.99999999999999
44	Spain	Islas Canarias	Las Palmas	873353.0	-15.449801720285961	28.096477750684556	-14.058333333333337	28.158333333333324
45	Spain	Islas Canarias	Santa Cruz de Tenerife	821674.0	-16.33053782505911	28.421157622599353	-16.633333333333326	27.974999999999994
