from_loc,to_loc,from_pop,from_x,from_y,to_pop,to_x,to_y,euc_dist,predict_model
165,68,76679.33,-5.73,8.29,113639.5,-3.72,5.64,3.326048707,23.33082747
165,69,76679.33,-5.73,8.29,178445.4,-4.05,5.52,3.239645042,34.57221098
165,173,76679.33,-5.73,8.29,15710.5,-6.94,8.31,1.210165278,23.13313567
165,172,76679.33,-5.73,8.29,20397.51,-6.97,7.92,1.294024729,25.62431549
165,171,76679.33,-5.73,8.29,94531.58,-6.65,8.02,0.958801335,134.3592043
165,170,76679.33,-5.73,8.29,21399.92,-6.71,8.84,1.123788236,32.98196512
165,168,76679.33,-5.73,8.29,21964.19,-6.6,8.5,0.894986033,47.61390756
165,169,76679.33,-5.73,8.29,14133.21,-6.39,7.91,0.761577311,43.11853388
165,164,76679.33,-5.73,8.29,19417.91,-6.15,8.46,0.45310043,121.951328
165,90,76679.33,-5.73,8.29,296121.9,-3.5,6.67,2.75632001,65.73186477
165,93,76679.33,-5.73,8.29,142210.8,-3.35,7.1,2.660920893,39.06353597
165,167,76679.33,-5.73,8.29,7860.66,-6.45,8.22,0.723394775,29.46354786
165,95,76679.33,-5.73,8.29,140540.5,-4.21,6.71,2.192441561,51.98467004
165,94,76679.33,-5.73,8.29,104699.9,-3.93,6.77,2.355928692,37.00216903
165,162,76679.33,-5.73,8.29,17510.47,-5.79,7.87,0.424264069,124.3212619
165,163,76679.33,-5.73,8.29,56870.12,-6.12,8.08,0.442944692,292.7107514
165,10,76679.33,-5.73,8.29,117567,-3.84,6.48,2.616906571,34.52402197
165,13,76679.33,-5.73,8.29,35260.93,-4.12,5.72,3.032655602,10.74601153
165,12,76679.33,-5.73,8.29,260115.4,-4.29,5.91,2.781726083,58.56502946
165,14,76679.33,-5.73,8.29,67014.26,-4.35,6.09,2.596998267,22.49630495
165,16,76679.33,-5.73,8.29,15601.14,-7.58,8.67,1.888623838,11.6787295
165,19,76679.33,-5.73,8.29,28244.99,-7.4,8.52,1.685763922,22.09682899
165,88,76679.33,-5.73,8.29,55843.93,-7.38,6.01,2.814409352,17.25609071
165,150,76679.33,-5.73,8.29,60152.32,-4.32,8.4,1.414284271,52.17442826
165,153,76679.33,-5.73,8.29,12284.02,-4.39,7.96,1.380036231,15.62092028
165,152,76679.33,-5.73,8.29,13839.19,-4.53,7.97,1.241933976,20.13642692
165,155,76679.33,-5.73,8.29,83551.83,-5.05,8.11,0.703420216,195.5292333
165,154,76679.33,-5.73,8.29,24256.29,-5.23,8.33,0.501597448,124.3187415
165,157,76679.33,-5.73,8.29,30323.29,-5.18,9.16,1.029271587,49.52977913
165,156,76679.33,-5.73,8.29,35932.79,-5.23,8.69,0.640312424,116.5682735
165,159,76679.33,-5.73,8.29,105673,-5.39,7.44,0.915478017,157.2998098
165,158,76679.33,-5.73,8.29,45378.39,-5.59,8.73,0.461735855,230.2622409
165,48,76679.33,-5.73,8.29,44654.1,-7.81,7.3,2.303584164,19.65350712
165,49,76679.33,-5.73,8.29,300051.9,-6,5.98,2.325725693,86.02735673
165,46,76679.33,-5.73,8.29,58493.69,-7.62,7.14,2.21237429,25.81864573
165,47,76679.33,-5.73,8.29,239032.9,-7.59,7.45,2.040882162,87.86037632
165,44,76679.33,-5.73,8.29,61591.02,-7.22,7.5,1.686475615,40.64824886
165,45,76679.33,-5.73,8.29,69235.65,-7.25,7.3,1.813973539,39.865343
165,42,76679.33,-5.73,8.29,8353.17,-7.34,9.51,2.020024752,6.464815189
165,87,76679.33,-5.73,8.29,105741.2,-7.6,6.47,2.609463546,31.91324477
165,1,76679.33,-5.73,8.29,103624.4,-7.57,7.78,1.909371624,50.55407353
165,9,76679.33,-5.73,8.29,62135.15,-3.97,5.91,2.960067567,17.37178977
165,146,76679.33,-5.73,8.29,37637.47,-5.22,7.77,0.728354309,99.33503158
165,147,76679.33,-5.73,8.29,18026.97,-5.07,7.48,1.044844486,32.22286872
165,144,76679.33,-5.73,8.29,749142.7,-4.94,7.81,0.924391692,717.8801503
165,145,76679.33,-5.73,8.29,31143.65,-4.7,7.71,1.182074448,40.9603886
165,142,76679.33,-5.73,8.29,46332.93,-5.44,7.94,0.454532727,239.7179972
165,143,76679.33,-5.73,8.29,32805.14,-5.3,7.92,0.567274184,130.542901
165,140,76679.33,-5.73,8.29,77865.89,-2.93,5.22,4.155105293,12.36499334
165,141,76679.33,-5.73,8.29,113421,-5.56,7.68,0.633245608,291.4944099
165,148,76679.33,-5.73,8.29,13827.01,-4.14,8.11,1.600156242,13.67783666
165,149,76679.33,-5.73,8.29,23042.68,-4.75,8.34,0.981274681,42.96672902
165,77,76679.33,-5.73,8.29,104837,-4.97,5.38,3.007607022,25.53331391
165,76,76679.33,-5.73,8.29,67376.76,-4.2,5.34,3.323161146,15.51761838
165,75,76679.33,-5.73,8.29,62457.17,-4.56,5.69,2.851122586,18.4676002
165,73,76679.33,-5.73,8.29,83491.54,-3.76,5.24,3.630895206,16.03706355
165,72,76679.33,-5.73,8.29,186424.7,-4.51,5.44,3.100145158,38.25742193
165,70,76679.33,-5.73,8.29,84565.99,-3.85,5.34,3.498128071,17.14414949
165,79,76679.33,-5.73,8.29,165065.1,-4.73,5.96,2.535527559,47.24573067
165,78,76679.33,-5.73,8.29,50498.46,-4.99,6.18,2.236000894,22.6437091
133,132,82566.05,-5.28,6.14,143951.1,-5.28,5.46,0.68,335.9214309
133,131,82566.05,-5.28,6.14,85605.52,-5.65,5.3,0.917877988,141.6198976
133,130,82566.05,-5.28,6.14,385132.7,-5.25,5.89,0.251793566,3296.213285
133,137,82566.05,-5.28,6.14,96485.43,-3.31,5.23,2.170023041,41.93216732
133,136,82566.05,-5.28,6.14,165484.2,-3.26,5.47,2.128215215,65.88580019
133,135,82566.05,-5.28,6.14,36767.6,-5.64,6.1,0.362215406,301.3102849
133,134,82566.05,-5.28,6.14,153584.7,-5.74,5.78,0.584123275,445.4552753
133,139,82566.05,-5.28,6.14,104242.5,-2.95,5.46,2.427200033,37.56072851
133,138,82566.05,-5.28,6.14,124386.4,-3.19,5.83,2.112865353,53.27743595
133,24,82566.05,-5.28,6.14,11502.49,-6.09,5.58,0.984733466,26.44569594
133,25,82566.05,-5.28,6.14,29278.96,-6.11,5.26,1.209669376,40.16274814
133,26,82566.05,-5.28,6.14,43587.32,-6.94,6.12,1.660120478,33.85727561
133,27,82566.05,-5.28,6.14,26883.18,-6.59,6.14,1.31,33.27294636
133,21,82566.05,-5.28,6.14,54735.31,-7.6,8.15,3.069609096,15.86409045
133,22,82566.05,-5.28,6.14,33294.96,-7.02,4.84,2.172003683,18.20907768
133,23,82566.05,-5.28,6.14,139440.1,-6.68,5.11,1.738073646,78.44415076
133,160,82566.05,-5.28,6.14,62187.94,-6.34,8.84,2.900620623,19.11029395
