Unit	N0	N1	Pop	Pop_Cent_Lon	Pop_Cent_Lat	Area_Cent_Lon	Area_Cent_Lat
0	Spain	Andalucía	7563260.0	-4.450326797385628	37.222830561752176	-4.666666666666657	36.54166666666666
1	Spain	Aragón	1287524.0	-0.8922532066893893	41.65349793215478	-0.7833333333333314	40.74999999999999
2	Spain	Cantabria	538838.0	-3.798037542662115	43.39908165961945	-4.083333333333343	42.01666666666666
3	Spain	Castilla-La Mancha	1962484.0	-2.8714307183649055	39.50794969150451	-3.308333333333337	39.16666666666666
4	Spain	Castilla y León	2505809.0	-4.71897737951403	41.66272911741528	-4.25	40.39166666666666
5	Spain	Cataluña	6618083.0	2.2069280693798987	41.45435290117556	1.76666666666668	40.74999999999999
6	Spain	Ceuta y Melilla	116587.0	-2.9514364854418886	35.306776973457424	-5.341666666666669	35.81666666666666
7	Spain	Comunidad de Madrid	5999299.0	-3.660054087361374	40.4185706726919	-3.76666666666668	39.91666666666666
8	Spain	Comunidad Foral de Navarra	607034.0	-1.6649757232449929	42.80468197476786	-1.5999999999999943	41.60833333333333
9	Spain	Comunidad Valenciana	4384418.0	-0.4521477663230087	39.351712612399425	-0.9250000000000114	39.31666666666666
10	Spain	Extremadura	1085295.0	-5.8723029976664805	38.95140155500993	-5.991666666666674	37.974999999999994
11	Spain	Galicia	2614406.0	-8.50545007032349	42.70491793871226	-7.958333333333343	41.80833333333333
12	Spain	Islas Baleares	898352.0	2.657673479516319	39.58294615690589	2.89166666666668	39.04166666666666
13	Spain	Islas Canarias	1731198.0	-15.429886448250187	28.154562481167986	-16.48333333333332	27.55833333333333
14	Spain	La Rioja	299580.0	-2.4424489936586724	42.451828025749236	-2.4916666666666742	41.30833333333333
15	Spain	País Vasco	2130156.0	-2.928958377902944	43.26454221456322	-2.583333333333343	42.80833333333333
16	Spain	Principado de Asturias	1062126.0	-5.791197623514677	43.41772655949314	-5.800000000000011	42.533333333333324
17	Spain	Región de Murcia	1310765.0	-1.2001760086650393	37.961267837609384	-1.6333333333333258	37.56666666666666
18	France	Auvergne-Rhône-Alpes	7408721.0	4.851479601170865	45.71741876979218	4.75	42.19166666666666
19	France	Bourgogne-Franche-Comté	2785783.0	6.017442061570392	47.25774661421239	4.958333333333343	45.24999999999999
20	France	Bretagne	3043265.0	-1.6969182825484665	48.133885745574005	-2.708333333333343	48.158333333333324
21	France	Centre-Val de Loire	2519640.0	1.3259286592866033	47.583409037696086	1.5500000000000114	46.64166666666666
22	France	Corse	252976.0	8.956944444444446	42.16147140864713	9.066666666666663	41.49166666666666
23	France	Grand Est	5499120.0	6.1801408412775345	48.68960135775181	5.691666666666663	45.01666666666666
24	France	Hauts-de-France	5921829.0	3.1269053117783017	50.391499796162314	2.875	48.908333333333324
25	France	Île-de-France	1.1562067E7	2.3842620277249296	48.85637768520271	2.5250000000000057	47.56666666666666
26	France	Normandie	3257719.0	0.5949999999999989	49.28886520867359	0.008333333333325754	48.99999999999999
27	France	Nouvelle-Aquitaine	5589442.0	-0.1331140350877149	45.04935169225948	0.6333333333333258	42.39999999999999
28	France	Occitanie	5296142.0	2.0734848484848385	43.60921383176947	2.208333333333343	41.86666666666666
29	France	Pays de la Loire	3443368.0	-1.6687499999999886	47.294100709578245	-1.0416666666666572	45.783333333333324
30	France	Provence-Alpes-Côte d'Azur	4653835.0	5.4492949133031345	43.52791211962576	6.083333333333343	42.36666666666666
31	Portugal	Aveiro	720915.0	-8.476758520667147	40.83666704385435	-8.525000000000006	40.55833333333333
32	Portugal	Azores	206545.0	-25.51284559207093	37.828671590665806	-28.633333333333326	38.41666666666666
33	Portugal	Beja	154525.0	-8.186661298980141	37.957216381953565	-8.383333333333326	37.29999999999999
34	Portugal	Braga	842287.0	-8.474784482758622	41.50311652649477	-8.35833333333332	40.849999999999994
35	Portugal	Bragança	140377.0	-7.126289682539692	41.51286436899862	-6.933333333333337	41.34166666666666
36	Portugal	Castelo Branco	200233.0	-7.480555555555554	40.03108412951167	-7.76666666666668	39.849999999999994
37	Portugal	Coimbra	432690.0	-8.418765432098752	40.20699256249405	-8.383333333333326	39.724999999999994
38	Portugal	Évora	168853.0	-7.9214285714285495	38.603988326848246	-8.166666666666657	38.14166666666666
39	Portugal	Faro	403428.0	-8.093857901726437	37.12403768740344	-8.23333333333332	36.658333333333324
40	Portugal	Guarda	167393.0	-7.2532781044004935	40.54383740096772	-7.241666666666674	40.56666666666666
41	Portugal	Leiria	461309.0	-8.826436781609203	39.71207100591715	-8.816666666666663	39.574999999999996
42	Portugal	Lisboa	2150044.0	-9.227981824048186	38.77049895022402	-9.183333333333337	38.699999999999996
43	Portugal	Madeira	235976.0	-16.935362215061474	32.668587562612224	-16.96666666666667	32.508333333333326
44	Portugal	Portalegre	121480.0	-8.008142006802728	39.224342105263155	-7.458333333333343	39.158333333333324
45	Portugal	Porto	1820833.0	-8.583152929493565	41.189725210022175	-8.308333333333337	40.95833333333333
46	Portugal	Santarém	454639.0	-8.58005464480874	39.43244167505873	-8.625	39.11666666666666
47	Portugal	Setúbal	792851.0	-9.12391456582634	38.62937074475475	-8.491666666666674	38.383333333333326
48	Portugal	Viana do Castelo	249784.0	-8.543402777777771	41.78955308696289	-8.441666666666663	41.48333333333333
49	Portugal	Vila Real	209365.0	-7.88975826972009	41.41083938568618	-7.708333333333343	41.49166666666666
50	Portugal	Viseu	386816.0	-7.91447368421052	40.70044374247893	-7.98333333333332	40.29999999999999
