Unit	N0	N1	N2	N3	Pop	Pop_Cent_Lon	Pop_Cent_Lat	Area_Cent_Lon	Area_Cent_Lat
0	Spain	Andalucía	Almería	n.a. (15)	49500.0	-2.270092838196291	37.36308351568198	-2.333333333333343	37.24999999999999
1	Spain	Andalucía	Almería	n.a. (16)	10685.0	-2.1410714285714505	37.118541666666665	-2.2583333333333258	36.74999999999999
2	Spain	Andalucía	Almería	n.a. (17)	8324.0	-2.77815315315317	37.14751461988303	-2.7166666666666686	37.02499999999999
3	Spain	Andalucía	Almería	n.a. (18)	12489.0	-2.6999999999999886	36.98220294426918	-2.791666666666657	36.86666666666666
4	Spain	Andalucía	Almería	n.a. (19)	221100.0	-2.431434255742431	36.853578944062306	-2.2750000000000057	36.849999999999994
5	Spain	Andalucía	Almería	n.a. (20)	196757.0	-2.802113641155387	36.77110658312132	-2.833333333333343	36.58333333333333
6	Spain	Andalucía	Almería	n.a. (21)	65408.0	-1.8807017543859672	37.275588496557845	-1.85833333333332	37.14166666666666
7	Spain	Andalucía	Almería	n.a. (22)	11029.0	-2.0750807754442633	37.64896192528735	-2.1750000000000114	37.52499999999999
8	Spain	Andalucía	Cádiz	Bahía de Cádiz	358537.0	-6.2667749667879775	36.495468708856315	-6.10833333333332	36.34166666666666
9	Spain	Andalucía	Cádiz	Campiña de Jerez	207183.0	-6.1267624396918166	36.6893192526226	-5.925000000000011	36.52499999999999
10	Spain	Andalucía	Cádiz	Campo de Gibraltar	211347.0	-5.3542322415993056	36.159882956084346	-5.541666666666657	36.08333333333333
11	Spain	Andalucía	Cádiz	Costa Noroeste	113223.0	-6.353706884213523	36.76410157007171	-6.324999999999989	36.77499999999999
12	Spain	Andalucía	Cádiz	La Janda	80305.0	-6.082154528478043	36.3071324979696	-5.800000000000011	36.02499999999999
13	Spain	Andalucía	Cádiz	Sierra de Cádiz	114231.0	-5.587239583333343	36.80715238857752	-5.60833333333332	36.26666666666666
14	Spain	Andalucía	Córdoba	Campiña Sur	103922.0	-4.674218749999994	37.54217902350813	-4.741666666666674	37.508333333333326
15	Spain	Andalucía	Córdoba	n.a. (86)	75972.0	-4.849537348586807	38.375356058837255	-4.966666666666669	37.883333333333326
16	Spain	Andalucía	Córdoba	n.a. (87)	28533.0	-4.45128205128205	38.025907563935846	-4.89166666666668	37.93333333333333
17	Spain	Andalucía	Córdoba	n.a. (88)	377878.0	-4.778300750232717	37.888577050837654	-4.73333333333332	37.52499999999999
18	Spain	Andalucía	Córdoba	n.a. (89)	21944.0	-5.276745265503138	37.70134215542846	-5.275000000000006	37.49999999999999
19	Spain	Andalucía	Córdoba	n.a. (90)	27461.0	-4.932783882783895	37.699601010101	-5.008333333333326	37.54999999999999
20	Spain	Andalucía	Córdoba	n.a. (91)	101580.0	-4.486153846153826	37.443918490326666	-4.466666666666669	37.39166666666666
21	Spain	Andalucía	Córdoba	n.a. (92)	48406.0	-4.19848672019765	37.43769979152189	-4.191666666666663	37.21666666666666
22	Spain	Andalucía	Granada	n.a. (109)	16075.0	-2.540815324165038	37.8102229220699	-2.566666666666663	37.70833333333333
23	Spain	Andalucía	Granada	n.a. (110)	22656.0	-3.9803571428571445	37.31031125421649	-3.9916666666666742	37.09166666666666
24	Spain	Andalucía	Granada	n.a. (111)	39279.0	-2.7687308868501646	37.50163628831814	-2.6583333333333314	37.04999999999999
25	Spain	Andalucía	Granada	n.a. (112)	42618.0	-3.1498912452419745	37.31069745919569	-3.125	37.033333333333324
26	Spain	Andalucía	Granada	n.a. (113)	554202.0	-3.6097404887881055	37.18089066436133	-3.808333333333337	36.67499999999999
27	Spain	Andalucía	Granada	n.a. (114)	17214.0	-3.9886925795053116	37.013531669865635	-4.0	36.849999999999994
28	Spain	Andalucía	Granada	n.a. (115)	22224.0	-3.5694497455470753	36.99815802845527	-3.6166666666666742	36.87499999999999
29	Spain	Andalucía	Granada	n.a. (116)	108452.0	-3.5247457394172557	36.7475736924532	-3.4666666666666686	36.39999999999999
30	Spain	Andalucía	Granada	n.a. (117)	23299.0	-3.382894736842104	36.92909254962618	-3.2583333333333258	36.79166666666666
31	Spain	Andalucía	Granada	n.a. (118)	23978.0	-3.566666666666663	37.468060569594854	-3.4916666666666742	37.27499999999999
32	Spain	Andalucía	Huelva	n.a. (133)	38258.0	-6.7271557271557185	37.91431248198327	-6.708333333333343	37.77499999999999
33	Spain	Andalucía	Huelva	n.a. (134)	45760.0	-7.342115097159933	37.30809826046073	-7.241666666666674	37.56666666666666
34	Spain	Andalucía	Huelva	n.a. (135)	32058.0	-6.875479233226855	37.6546803652968	-6.775000000000006	37.19166666666666
35	Spain	Andalucía	Huelva	n.a. (136)	224450.0	-6.943212564862847	37.265054196604666	-7.066666666666663	37.29166666666666
36	Spain	Andalucía	Huelva	n.a. (137)	58765.0	-6.8928030303030425	37.20767029592406	-6.625	36.85833333333333
37	Spain	Andalucía	Huelva	n.a. (138)	75981.0	-6.5428571428571445	37.35782293271699	-6.591666666666669	37.283333333333324
38	Spain	Andalucía	Jaén	Alto Guadalquivir	33565.0	-3.118440315315297	37.90941584422512	-3.01666666666668	37.73333333333333
39	Spain	Andalucía	Jaén	Área metropolitana de Jaén	222175.0	-3.7907941852386386	37.781163835251384	-3.941666666666663	37.71666666666666
40	Spain	Andalucía	Jaén	Campiña	66515.0	-4.050209578353247	38.03529265528883	-4.058333333333337	38.11666666666666
41	Spain	Andalucía	Jaén	El Condado	23865.0	-3.375	38.230570175438594	-3.2249999999999943	38.24166666666666
42	Spain	Andalucía	Jaén	Lalomay Lasvillas	99527.0	-3.3654361598440516	38.027653755868535	-3.25	38.01666666666666
43	Spain	Andalucía	Jaén	Sierra De Segura	25937.0	-2.883428030303037	38.31927416895394	-2.7166666666666686	37.74999999999999
44	Spain	Andalucía	Jaén	Sierra Magina	40809.0	-3.45208333333332	37.750788690476185	-3.4499999999999886	37.474999999999994
45	Spain	Andalucía	Jaén	Sierra Norte	101753.0	-3.637647593097171	38.10067385921471	-3.691666666666663	37.98333333333333
46	Spain	Andalucía	Jaén	Sierra Sur	43669.0	-3.9122395833333314	37.48989877981142	-3.9250000000000114	37.48333333333333
47	Spain	Andalucía	Málaga	n.a. (181)	156357.0	-4.025975609756102	36.760894021091836	-4.033333333333331	36.46666666666666
48	Spain	Andalucía	Málaga	n.a. (182)	116727.0	-4.539358372456974	37.03780611939404	-4.691666666666663	36.64166666666666
49	Spain	Andalucía	Málaga	n.a. (183)	52085.0	-5.158477207330009	36.75037243488555	-5.175000000000011	36.69166666666666
50	Spain	Andalucía	Málaga	n.a. (184)	942735.0	-4.474895630392439	36.68535841741764	-4.75	36.64999999999999
51	Spain	Andalucía	Sevilla	n.a. (226)	57606.0	-6.014814814814798	37.69980759980759	-5.741666666666674	37.19166666666666
52	Spain	Andalucía	Sevilla	n.a. (227)	388137.0	-5.835540898686901	37.33890188150731	-5.449999999999989	36.80833333333333
53	Spain	Andalucía	Sevilla	n.a. (228)	1013571.0	-5.963083936553147	37.386738710868634	-5.824999999999989	37.24166666666666
54	Spain	Andalucía	Sevilla	n.a. (229)	252605.0	-6.064145893256608	37.37547146275647	-6.191666666666663	37.24166666666666
55	Spain	Andalucía	Sevilla	n.a. (230)	25754.0	-6.303685897435912	37.243660778015695	-6.191666666666663	37.10833333333333
56	Spain	Andalucía	Sevilla	n.a. (231)	46190.0	-4.8710835509138235	37.29298532952573	-4.841666666666669	37.283333333333324
57	Spain	Andalucía	Sevilla	n.a. (232)	62595.0	-5.455271659324524	37.120644327695196	-5.275000000000006	37.074999999999996
58	Spain	Aragón	Huesca	n.a. (125)	12611.0	0.5	42.262578616352194	0.5416666666666572	42.17499999999999
59	Spain	Aragón	Huesca	n.a. (126)	7368.0	0.07258771929824093	42.44709150326797	0.10833333333332007	42.44166666666666
60	Spain	Aragón	Huesca	n.a. (127)	23559.0	0.12619977678571104	42.03765699382153	0.09166666666666856	41.76666666666666
61	Spain	Aragón	Huesca	n.a. (128)	38076.0	0.3990384615384812	41.87571839080459	0.3166666666666629	41.533333333333324
62	Spain	Aragón	Huesca	n.a. (129)	23917.0	0.34468315972222285	41.533051254351214	0.19166666666666288	41.36666666666666
63	Spain	Aragón	Huesca	n.a. (130)	10362.0	-0.1601545253863037	41.7975155279503	-0.25	41.758333333333326
64	Spain	Aragón	Huesca	n.a. (131)	70438.0	-0.4077974378488136	42.138268784035944	-0.4166666666666572	42.074999999999996
65	Spain	Aragón	Huesca	n.a. (132)	31325.0	-0.5488633805986751	42.57175301788703	-0.5500000000000114	42.02499999999999
66	Spain	Aragón	Teruel	n.a. (248)	56816.0	-0.3882113821138091	41.000827280064556	-0.21666666666666856	40.64166666666666
67	Spain	Aragón	Teruel	n.a. (249)	10205.0	-0.8480620155038707	40.81646416298477	-0.8833333333333258	40.54166666666666
68	Spain	Aragón	Teruel	n.a. (250)	8105.0	-0.6361111111110915	40.379314720812175	-0.625	39.91666666666666
69	Spain	Aragón	Teruel	n.a. (251)	42464.0	-1.122089397089411	40.35044794056593	-1.0999999999999943	40.099999999999994
70	Spain	Aragón	Teruel	n.a. (252)	5332.0	-1.4458333333333258	40.417608951707884	-1.5333333333333314	40.099999999999994
71	Spain	Aragón	Teruel	n.a. (253)	17474.0	-1.353678160919543	40.797504230118435	-1.3666666666666742	40.71666666666666
72	Spain	Aragón	Zaragoza	n.a. (274)	31861.0	-1.1426795580110536	42.1281008035062	-1.0916666666666686	42.16666666666666
73	Spain	Aragón	Zaragoza	n.a. (275)	759200.0	-0.8923404773502455	41.653739753457224	-0.7416666666666742	40.883333333333326
74	Spain	Aragón	Zaragoza	n.a. (276)	35633.0	-1.3683853459972966	41.48676950087784	-1.3166666666666629	41.283333333333324
75	Spain	Aragón	Zaragoza	n.a. (277)	6462.0	-1.4083333333333314	41.132033957033954	-1.4499999999999886	40.99166666666666
76	Spain	Aragón	Zaragoza	n.a. (278)	43990.0	-1.6399033110739936	41.35260500709011	-1.7916666666666572	40.85833333333333
77	Spain	Aragón	Zaragoza	n.a. (279)	27.0	-1.0999999999999943	42.46166666666666	-1.0999999999999943	42.43333333333333
78	Spain	Aragón	Zaragoza	n.a. (280)	31080.0	-1.707664609053495	41.88853959849988	-1.5666666666666629	41.699999999999996
79	Spain	Aragón	Zaragoza	n.a. (281)	21219.0	-0.049940898345141704	41.24365605658708	-0.04166666666665719	40.824999999999996
80	Spain	Cantabria	Cantabria	Asón-Agüera	15109.0	-3.4145833333333258	43.332603276353275	-3.5250000000000057	43.09166666666666
81	Spain	Cantabria	Cantabria	Besaya	89381.0	-4.046755310252564	43.34576746236694	-4.091666666666669	43.06666666666666
82	Spain	Cantabria	Cantabria	Campoo-Los Valles	19379.0	-4.137815153927818	42.999184542049704	-4.10833333333332	42.883333333333326
83	Spain	Cantabria	Cantabria	Comarca de Santander	236708.0	-3.841103844100388	43.45083594566353	-3.916666666666657	43.29166666666666
84	Spain	Cantabria	Cantabria	Costa Occidental	18384.0	-4.297142857142859	43.380182981791954	-4.341666666666669	43.19166666666666
85	Spain	Cantabria	Cantabria	Costa Oriental	48677.0	-3.2322486119679184	43.38805338541666	-3.26666666666668	43.36666666666666
86	Spain	Cantabria	Cantabria	Liébana	5578.0	-4.6226666666666745	43.15433789954337	-4.675000000000011	43.06666666666666
87	Spain	Cantabria	Cantabria	n.a. (196)	2772.0	-4.46979166666668	43.25747863247862	-4.449999999999989	43.09166666666666
88	Spain	Cantabria	Cantabria	n.a. (222)	20186.0	-4.210555555555544	43.32393150929899	-4.26666666666668	43.199999999999996
89	Spain	Cantabria	Cantabria	Pas-Miera	25376.0	-3.8820175438596323	43.300496224379714	-3.8416666666666686	42.98333333333333
90	Spain	Cantabria	Cantabria	Trasmiera	57288.0	-3.681707317073176	43.41035637351315	-3.64166666666668	43.09166666666666
91	Spain	Castilla-La Mancha	Albacete	n.a. (10)	182963.0	-1.859258648187847	38.997892372108645	-1.75	38.69166666666666
92	Spain	Castilla-La Mancha	Albacete	n.a. (11)	28774.0	-1.79550610820246	39.245408950617275	-1.51666666666668	38.758333333333326
93	Spain	Castilla-La Mancha	Albacete	n.a. (12)	42210.0	-1.0925355450236793	38.86608217592592	-1.1500000000000057	38.783333333333324
94	Spain	Castilla-La Mancha	Albacete	n.a. (13)	14550.0	-2.169444444444423	38.40573446327683	-2.1500000000000057	37.71666666666666
95	Spain	Castilla-La Mancha	Albacete	n.a. (14)	43897.0	-1.70298573975046	38.51800808314087	-1.7750000000000057	38.04999999999999
96	Spain	Castilla-La Mancha	Albacete	n.a. (8)	61246.0	-2.5763257575757734	39.25738142952571	-2.4749999999999943	38.599999999999994
97	Spain	Castilla-La Mancha	Albacete	n.a. (9)	12270.0	-2.5500000000000114	38.70803921568627	-2.441666666666663	38.68333333333333
98	Spain	Castilla-La Mancha	Ciudad Real	n.a. (79)	229079.0	-3.0179587404994663	39.15851916188628	-3.308333333333337	38.99166666666666
99	Spain	Castilla-La Mancha	Ciudad Real	n.a. (80)	144496.0	-3.918763528138527	38.97495366639806	-3.941666666666663	38.474999999999994
100	Spain	Castilla-La Mancha	Ciudad Real	n.a. (81)	27913.0	-2.704729729729735	38.6897414277684	-3.0	38.21666666666666
101	Spain	Castilla-La Mancha	Ciudad Real	n.a. (82)	27935.0	-3.8528368794326298	39.17485107139681	-4.208333333333343	38.54166666666666
102	Spain	Castilla-La Mancha	Ciudad Real	n.a. (83)	12342.0	-4.831166056166069	38.78161908486506	-4.76666666666668	38.633333333333326
103	Spain	Castilla-La Mancha	Ciudad Real	n.a. (84)	407.0	-4.833333333333343	39.46628787878787	-4.833333333333343	39.29166666666666
104	Spain	Castilla-La Mancha	Ciudad Real	n.a. (85)	66176.0	-4.07616243961354	38.67971995416129	-4.224999999999994	37.84166666666666
105	Spain	Castilla-La Mancha	Cuenca	n.a. (93)	9981.0	-2.5854166666666742	40.31336805555555	-2.5250000000000057	40.05833333333333
106	Spain	Castilla-La Mancha	Cuenca	n.a. (94)	3550.0	-1.9499999999999886	40.430833333333325	-1.9583333333333428	40.30833333333333
107	Spain	Castilla-La Mancha	Cuenca	n.a. (95)	66567.0	-2.131778041386582	40.06431727535778	-2.1333333333333258	39.96666666666666
108	Spain	Castilla-La Mancha	Cuenca	n.a. (96)	9546.0	-1.73333333333332	39.897229916897494	-1.5916666666666686	39.23333333333333
109	Spain	Castilla-La Mancha	Cuenca	n.a. (97)	38068.0	-2.6583333333333314	39.94188464118041	-2.691666666666663	39.60833333333333
110	Spain	Castilla-La Mancha	Cuenca	n.a. (98)	40060.0	-1.7556410256410402	39.441607203533806	-1.875	39.324999999999996
111	Spain	Castilla-La Mancha	Cuenca	n.a. (99)	41770.0	-2.6756416504223353	39.456430363864484	-2.6166666666666742	39.48333333333333
112	Spain	Castilla-La Mancha	Guadalajara	n.a. (119)	7392.0	-1.885972461273667	40.845907960199	-1.8833333333333258	40.324999999999996
113	Spain	Castilla-La Mancha	Guadalajara	n.a. (120)	13783.0	-2.958333333333343	40.79650041050902	-2.6999999999999886	40.474999999999994
114	Spain	Castilla-La Mancha	Guadalajara	n.a. (121)	5999.0	-2.6783333333333417	40.56755464480874	-2.5083333333333258	40.19166666666666
115	Spain	Castilla-La Mancha	Guadalajara	n.a. (122)	184601.0	-3.173024244332481	40.626710851612216	-3.0749999999999886	40.35833333333333
116	Spain	Castilla-La Mancha	Guadalajara	n.a. (123)	8929.0	-2.646056685150967	41.072148288973374	-2.933333333333337	40.46666666666666
117	Spain	Castilla-La Mancha	Guadalajara	n.a. (176)	31.0	-3.370833333333337	40.63385416666666	-3.3833333333333258	40.633333333333326
118	Spain	Castilla-La Mancha	Toledo	n.a. (254)	135795.0	-3.3416666666666686	39.64454467353951	-3.4083333333333314	39.45833333333333
119	Spain	Castilla-La Mancha	Toledo	n.a. (255)	22672.0	-3.9756590357266646	39.67601606190661	-3.933333333333337	39.35833333333333
120	Spain	Castilla-La Mancha	Toledo	n.a. (256)	10615.0	-4.467519106407991	39.63349638639168	-4.383333333333326	39.408333333333324
121	Spain	Castilla-La Mancha	Toledo	n.a. (257)	77245.0	-4.277403846153845	40.03471194799372	-4.349999999999994	39.61666666666666
122	Spain	Castilla-La Mancha	Toledo	n.a. (258)	121893.0	-4.832233660130726	39.962696698637274	-4.974999999999994	39.883333333333326
123	Spain	Castilla-La Mancha	Toledo	n.a. (259)	255393.0	-3.782478632478643	39.97836538461537	-3.958333333333343	39.89999999999999
124	Spain	Castilla-La Mancha	Toledo	n.a. (260)	14336.0	-4.711111111111109	39.713559322033895	-4.866666666666674	39.11666666666666
125	Spain	Castilla y León	Ávila	n.a. (23)	23704.0	-4.866071428571445	41.02200854700854	-4.85833333333332	40.49166666666666
126	Spain	Castilla y León	Ávila	n.a. (24)	70410.0	-4.6823721220369805	40.660252773173525	-4.908333333333331	40.24999999999999
127	Spain	Castilla y León	Ávila	n.a. (25)	10359.0	-5.507291666666674	40.40695684523809	-5.508333333333326	40.18333333333333
128	Spain	Castilla y León	Ávila	n.a. (26)	4525.0	-4.98333333333332	40.384623015873004	-5.066666666666663	39.95833333333333
129	Spain	Castilla y León	Ávila	n.a. (27)	24543.0	-4.530000000000001	40.47163833075734	-4.550000000000011	40.36666666666666
130	Spain	Castilla y León	Ávila	n.a. (28)	34050.0	-5.010185185185179	40.258291139240505	-5.025000000000006	40.158333333333324
131	Spain	Castilla y León	Burgos	n.a. (202)	8.0	-4.258333333333326	42.73749999999999	-4.258333333333326	42.73333333333333
132	Spain	Castilla y León	Burgos	n.a. (60)	11565.0	-4.221428571428561	42.42271853986551	-4.083333333333343	42.29166666666666
133	Spain	Castilla y León	Burgos	n.a. (61)	2311.0	-3.9666666666666686	42.710158150851576	-3.9250000000000114	42.42499999999999
134	Spain	Castilla y León	Burgos	n.a. (62)	197468.0	-3.6720808017319655	42.35142022158248	-3.666666666666657	41.949999999999996
135	Spain	Castilla y León	Burgos	n.a. (63)	52080.0	-2.9442706941103154	42.6846053787418	-3.333333333333343	42.49166666666666
136	Spain	Castilla y León	Burgos	n.a. (64)	22776.0	-3.499873737373747	42.94896138296389	-3.5083333333333258	42.158333333333324
137	Spain	Castilla y León	Burgos	n.a. (65)	13863.0	-3.0585365853658573	41.995859957401485	-3.208333333333343	41.94166666666666
138	Spain	Castilla y León	Burgos	n.a. (66)	12593.0	-3.754576271186437	42.03703274637009	-3.73333333333332	41.508333333333326
139	Spain	Castilla y León	Burgos	n.a. (67)	47943.0	-3.6968337218337126	41.67166909502995	-3.708333333333343	41.35833333333333
140	Spain	Castilla y León	Burgos	n.a. (68)	93.0	-3.1500000000000057	42.85124999999999	-3.1750000000000114	42.81666666666666
141	Spain	Castilla y León	León	n.a. (148)	132110.0	-6.624626865671615	42.57127981885444	-6.625	41.99999999999999
142	Spain	Castilla y León	León	n.a. (149)	202330.0	-5.577815829528134	42.599005342439064	-5.39166666666668	42.54999999999999
143	Spain	Castilla y León	León	n.a. (150)	16977.0	-5.324788494077836	42.86121993127147	-5.208333333333343	42.824999999999996
144	Spain	Castilla y León	León	n.a. (151)	4169.0	-6.508333333333326	42.300656167979	-6.466666666666669	41.91666666666666
145	Spain	Castilla y León	León	n.a. (152)	25937.0	-6.27583333333331	42.9193468072642	-6.066666666666663	42.44166666666666
146	Spain	Castilla y León	León	n.a. (153)	31652.0	-6.056921339083999	42.46538552321007	-6.050000000000011	42.14999999999999
147	Spain	Castilla y León	León	n.a. (154)	18427.0	-5.711538461538481	42.37973395931142	-5.758333333333326	42.30833333333333
148	Spain	Castilla y León	León	n.a. (155)	22183.0	-5.899904613250072	42.30124199495439	-6.0	42.04999999999999
149	Spain	Castilla y León	León	n.a. (156)	31102.0	-5.493333333333339	42.39820574162679	-5.458333333333343	42.24999999999999
150	Spain	Castilla y León	León	n.a. (157)	196.0	-5.287499999999994	42.237318840579704	-5.291666666666657	42.20833333333333
151	Spain	Castilla y León	León	n.a. (158)	6946.0	-5.032073643410854	42.379975124378106	-5.083333333333343	42.20833333333333
152	Spain	Castilla y León	Palencia	n.a. (200)	7867.0	-4.741551193225547	42.52430771221531	-4.724999999999994	42.45833333333333
153	Spain	Castilla y León	Palencia	n.a. (201)	106149.0	-4.527274635154328	42.01388630579482	-4.625	41.574999999999996
154	Spain	Castilla y León	Palencia	n.a. (202)	5172.0	-4.344523809523793	42.614062499999996	-4.416666666666657	42.39999999999999
155	Spain	Castilla y León	Palencia	n.a. (203)	3979.0	-4.499502487562182	42.870686767169175	-4.508333333333326	42.849999999999994
156	Spain	Castilla y León	Palencia	n.a. (204)	10619.0	-4.848138661202171	42.79530948442238	-4.791666666666657	42.79999999999999
157	Spain	Castilla y León	Palencia	n.a. (205)	38145.0	-4.499736842105278	41.96732786137711	-4.25	41.93333333333333
158	Spain	Castilla y León	Palencia	n.a. (206)	54.0	-4.01666666666668	42.79351851851852	-4.025000000000006	42.783333333333324
159	Spain	Castilla y León	Salamanca	n.a. (212)	17668.0	-5.201386001385998	40.907262504665916	-5.25	40.94166666666666
160	Spain	Castilla y León	Salamanca	n.a. (213)	215591.0	-5.6614250393346595	40.96732346004181	-5.625	40.84166666666666
161	Spain	Castilla y León	Salamanca	n.a. (214)	23846.0	-5.508333333333326	40.76550724637681	-5.574999999999989	40.68333333333333
162	Spain	Castilla y León	Salamanca	n.a. (215)	8776.0	-6.22416666666669	40.784871534820816	-6.058333333333337	40.45833333333333
163	Spain	Castilla y León	Salamanca	n.a. (216)	18493.0	-6.434529147982062	41.01607409780055	-6.566666666666663	40.42499999999999
164	Spain	Castilla y León	Salamanca	n.a. (217)	6573.0	-6.000187265917617	41.09511784511784	-6.008333333333326	41.099999999999994
165	Spain	Castilla y León	Salamanca	n.a. (218)	30477.0	-5.774821746880576	40.39688577055637	-5.958333333333343	40.36666666666666
166	Spain	Castilla y León	Salamanca	n.a. (219)	25851.0	-6.5314036656236	40.600685331000285	-6.474999999999994	40.14999999999999
167	Spain	Castilla y León	Salamanca	n.a. (220)	1363.0	-5.601960784313718	40.496394230769226	-5.566666666666663	40.31666666666666
168	Spain	Castilla y León	Segovia	n.a. (223)	17039.0	-3.589583333333337	41.311897163120555	-3.7166666666666686	40.68333333333333
169	Spain	Castilla y León	Segovia	n.a. (224)	45795.0	-4.4348343685300335	41.19908753920729	-4.341666666666669	40.95833333333333
170	Spain	Castilla y León	Segovia	n.a. (225)	94506.0	-4.10884556367904	40.93407085875175	-4.041666666666657	40.85833333333333
171	Spain	Castilla y León	Soria	n.a. (233)	3634.0	-2.4781250000000057	41.95498137802607	-2.4499999999999886	41.81666666666666
172	Spain	Castilla y León	Soria	n.a. (234)	12622.0	-1.9862940785096441	41.78697174293573	-2.1333333333333258	41.283333333333324
173	Spain	Castilla y León	Soria	n.a. (235)	45535.0	-2.476683789954336	41.76950301204818	-2.6500000000000057	41.14999999999999
174	Spain	Castilla y León	Soria	n.a. (236)	8458.0	-2.5298686594202877	41.48714035924336	-2.625	41.37499999999999
175	Spain	Castilla y León	Soria	n.a. (237)	3201.0	-2.2925438596491006	41.21014492753623	-2.39166666666668	40.85833333333333
176	Spain	Castilla y León	Soria	n.a. (238)	11167.0	-3.071222562531915	41.58721998658618	-3.2750000000000057	41.258333333333326
177	Spain	Castilla y León	Soria	n.a. (239)	9859.0	-3.0409090909091105	41.85828313253011	-2.9083333333333314	41.49999999999999
178	Spain	Castilla y León	Soria	n.a. (65)	194.0	-3.2658333333333474	41.8392857142857	-3.2750000000000057	41.83333333333333
179	Spain	Castilla y León	Valladolid	n.a. (263)	17499.0	-5.059057971014511	41.90813444709625	-5.14166666666668	41.70833333333333
180	Spain	Castilla y León	Valladolid	n.a. (264)	404668.0	-4.731795395469732	41.636168737971744	-4.800000000000011	41.34166666666666
181	Spain	Castilla y León	Valladolid	n.a. (265)	44521.0	-4.588145161290328	41.47907630522088	-4.383333333333326	41.008333333333326
182	Spain	Castilla y León	Valladolid	n.a. (266)	51553.0	-4.914535768645351	41.32473052757014	-5.066666666666663	40.91666666666666
183	Spain	Castilla y León	Valladolid	n.a. (267)	306.0	-5.472499999999997	42.03005952380952	-5.458333333333343	41.974999999999994
184	Spain	Castilla y León	Zamora	n.a. (268)	39779.0	-5.675309541150767	42.00486080260624	-5.849999999999994	41.54166666666666
185	Spain	Castilla y León	Zamora	n.a. (269)	10428.0	-6.629367327667609	42.057409050576744	-6.599999999999994	41.91666666666666
186	Spain	Castilla y León	Zamora	n.a. (270)	14038.0	-6.286458333333343	41.751776266061974	-6.199999999999989	41.408333333333324
187	Spain	Castilla y León	Zamora	n.a. (271)	86978.0	-5.740818250377089	41.51315214764173	-5.60833333333332	41.41666666666666
188	Spain	Castilla y León	Zamora	n.a. (272)	9372.0	-6.14166666666668	41.353320312499996	-6.116666666666674	41.033333333333324
189	Spain	Castilla y León	Zamora	n.a. (273)	33714.0	-5.726767676767679	41.45612503730229	-5.574999999999989	41.12499999999999
190	Spain	Cataluña	Barcelona	n.a. (162)	22.0	1.6979166666666572	42.287499999999994	1.6916666666666629	42.27499999999999
191	Spain	Cataluña	Barcelona	n.a. (164)	5.0	1.6666666666666572	42.11333333333333	1.6666666666666572	42.099999999999994
192	Spain	Cataluña	Barcelona	n.a. (29)	669897.0	2.247137044270829	41.47091364977205	2.51666666666668	41.39166666666666
193	Spain	Cataluña	Barcelona	n.a. (30)	113498.0	1.6433383327084243	41.57363363806153	1.5833333333333428	41.283333333333324
194	Spain	Cataluña	Barcelona	n.a. (31)	354105.0	2.2871798458286605	41.60859954859151	2.375	41.62499999999999
195	Spain	Cataluña	Barcelona	n.a. (32)	12955.0	2.1019135802469293	41.80164203612479	2.0749999999999886	41.633333333333326
196	Spain	Cataluña	Barcelona	n.a. (33)	148946.0	2.264624681933867	41.943148360273206	2.191666666666663	41.69166666666666
197	Spain	Cataluña	Barcelona	n.a. (34)	38407.0	1.8413297661514036	42.09652281313571	1.89166666666668	41.96666666666666
198	Spain	Cataluña	Barcelona	n.a. (35)	167385.0	1.8310209172903456	41.73664612420941	1.7416666666666742	41.71666666666666
199	Spain	Cataluña	Barcelona	n.a. (36)	849435.0	2.104333404856419	41.53926116087684	2.041666666666657	41.35833333333333
200	Spain	Cataluña	Barcelona	n.a. (37)	2349770.0	2.135837884141779	41.38594128502294	2.0250000000000057	41.349999999999994
201	Spain	Cataluña	Barcelona	n.a. (38)	220675.0	1.7546918767507123	41.28237326091099	1.7249999999999943	41.16666666666666
202	Spain	Cataluña	Girona	n.a. (101)	13101.0	1.9289112580128176	42.43037806990726	1.875	42.283333333333324
203	Spain	Cataluña	Girona	n.a. (102)	23450.0	2.1755602240896224	42.22550995024875	2.291666666666657	42.20833333333333
204	Spain	Cataluña	Girona	n.a. (103)	49487.0	2.4853846882698463	42.18452171504903	2.5500000000000114	42.02499999999999
205	Spain	Cataluña	Girona	n.a. (104)	189480.0	2.809833368711537	41.97850587672543	2.8000000000000114	41.86666666666666
206	Spain	Cataluña	Girona	n.a. (105)	117272.0	2.9695698051947943	42.26655355805243	2.98333333333332	42.11666666666666
207	Spain	Cataluña	Girona	n.a. (106)	137000.0	2.6323267074413934	41.74740287965226	2.5916666666666686	41.599999999999994
208	Spain	Cataluña	Girona	n.a. (107)	103846.0	3.1651654411764696	41.90848075870873	3.083333333333343	41.77499999999999
209	Spain	Cataluña	Girona	n.a. (34)	22.0	2.0074074074074133	42.12760416666666	2.0083333333333258	42.11666666666666
210	Spain	Cataluña	Lleida	n.a. (159)	9361.0	0.797896440129449	42.71441666666666	0.8416666666666686	42.633333333333326
211	Spain	Cataluña	Lleida	n.a. (160)	19377.0	0.8489942528735526	41.50050597976081	0.75	40.908333333333324
212	Spain	Cataluña	Lleida	n.a. (161)	11740.0	1.1004629629629505	42.45056634304206	1.0416666666666572	42.35833333333333
